pH,Temprature,Taste,Odor,Fat,Turbidity,Colour,Grade,Grade_encoded
0.5538461538461538,0.017857142857142905,1.0,0.0,1.0,0.0,0.9333333333333336,high,0
0.5538461538461538,0.0357142857142857,0.0,1.0,0.0,1.0,0.8666666666666671,high,0
0.8461538461538461,0.6428571428571429,1.0,1.0,1.0,1.0,0.3999999999999986,low,1
1.0,0.0,1.0,1.0,0.0,1.0,1.0,low,1
0.5538461538461538,0.0535714285714286,0.0,0.0,0.0,0.0,1.0,medium,2
0.5538461538461538,0.0535714285714286,1.0,1.0,1.0,1.0,1.0,high,0
0.3846153846153847,0.1964285714285714,1.0,0.0,1.0,1.0,0.6666666666666679,low,1
0.23076923076923073,0.4642857142857143,0.0,1.0,1.0,1.0,0.6666666666666679,low,1
0.7846153846153846,0.5714285714285715,1.0,0.0,1.0,1.0,1.0,low,1
0.5692307692307693,0.1964285714285714,1.0,1.0,0.0,0.0,0.466666666666665,medium,2
0.5692307692307693,0.1964285714285714,1.0,1.0,1.0,0.0,0.33333333333333215,medium,2
0.4,0.2857142857142857,0.0,1.0,1.0,1.0,1.0,low,1
0.8615384615384615,0.375,0.0,1.0,1.0,1.0,1.0,low,1
0.6769230769230771,0.9999999999999999,1.0,0.0,1.0,1.0,1.0,low,1
0.5846153846153846,0.1964285714285714,0.0,1.0,1.0,1.0,1.0,high,0
0.5384615384615384,0.0714285714285714,1.0,0.0,0.0,0.0,1.0,medium,2
0.2615384615384616,0.0714285714285714,1.0,0.0,1.0,0.0,1.0,low,1
0.0,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,low,1
0.923076923076923,0.1607142857142857,1.0,0.0,1.0,1.0,0.6666666666666679,low,1
0.5846153846153846,0.1071428571428571,1.0,0.0,1.0,0.0,0.33333333333333215,medium,2
0.5538461538461538,0.1964285714285714,0.0,1.0,1.0,1.0,0.6666666666666679,high,0
0.5384615384615384,0.0357142857142857,0.0,0.0,1.0,0.0,1.0,medium,2
0.23076923076923073,0.0714285714285714,0.0,1.0,1.0,1.0,1.0,low,1
0.5538461538461538,0.1964285714285714,1.0,1.0,1.0,1.0,0.33333333333333215,high,0
0.5846153846153846,0.017857142857142905,1.0,0.0,1.0,0.0,0.3999999999999986,medium,2
0.5384615384615384,0.0357142857142857,0.0,1.0,1.0,0.0,0.8666666666666671,high,0
0.8461538461538461,0.6428571428571429,0.0,0.0,0.0,0.0,0.3999999999999986,low,1
0.5538461538461538,0.0,0.0,0.0,0.0,1.0,0.0,medium,2
0.5384615384615384,0.0535714285714286,0.0,0.0,0.0,0.0,0.33333333333333215,medium,2
0.5538461538461538,0.0535714285714286,1.0,0.0,1.0,0.0,1.0,high,0
0.5230769230769231,0.1964285714285714,0.0,1.0,0.0,0.0,0.0,medium,2
0.5384615384615384,0.1071428571428571,0.0,1.0,0.0,1.0,0.6666666666666679,low,1
0.5846153846153846,0.1428571428571429,1.0,1.0,1.0,1.0,1.0,high,0
0.5692307692307693,0.125,1.0,0.0,0.0,0.0,0.466666666666665,medium,2
0.5692307692307693,0.2857142857142857,1.0,1.0,1.0,0.0,0.33333333333333215,low,1
0.8615384615384615,0.375,0.0,1.0,0.0,0.0,1.0,low,1
0.6769230769230771,0.5535714285714285,0.0,0.0,0.0,0.0,1.0,low,1
